iter	Passed	Remaining
0	258	258526
1	261	130393
2	264	87984
3	267	66515
4	269	53629
5	271	45027
6	274	38884
7	277	34402
8	280	30877
9	281	27875
10	282	25413
11	283	23363
12	284	21628
13	286	20143
14	287	18849
15	288	17715
16	289	16715
17	290	15847
18	291	15071
19	293	14357
20	294	13709
21	295	13121
22	296	12582
23	297	12089
24	298	11636
25	299	11220
26	300	10832
27	301	10471
28	302	10135
29	303	9822
30	305	9552
31	306	9281
32	307	9023
33	309	8779
34	310	8548
35	311	8332
36	312	8126
37	313	7938
38	314	7755
39	315	7582
40	317	7417
41	319	7279
42	320	7139
43	322	7000
44	323	6863
45	324	6730
46	325	6602
47	326	6479
48	327	6360
49	328	6246
50	329	6136
51	330	6031
52	331	5929
53	333	5845
54	334	5754
55	336	5668
56	337	5581
57	338	5498
58	339	5419
59	341	5344
60	342	5270
61	343	5199
62	344	5127
63	345	5058
64	346	4991
65	348	4933
66	349	4871
67	350	4809
68	351	4749
69	353	4690
70	354	4634
71	355	4579
72	356	4526
73	357	4473
74	358	4426
75	360	4381
76	361	4338
77	363	4298
78	365	4257
79	366	4214
80	368	4181
81	370	4142
82	370	4096
83	372	4058
84	373	4020
85	374	3983
86	377	3965
87	379	3933
88	380	3898
89	382	3868
90	384	3837
91	385	3805
92	386	3774
93	388	3741
94	389	3708
95	390	3676
96	392	3651
97	393	3621
98	394	3590
99	395	3559
100	396	3529
101	397	3500
102	398	3471
103	399	3443
104	400	3415
105	401	3388
106	402	3362
107	403	3335
108	404	3310
109	406	3288
110	407	3266
111	409	3243
112	410	3220
113	411	3196
114	412	3173
115	413	3150
116	414	3126
117	415	3104
118	416	3082
119	417	3060
120	418	3039
121	419	3016
122	420	2996
123	421	2980
124	422	2960
125	424	2942
126	425	2922
127	426	2904
128	427	2886
129	428	2868
130	429	2851
131	431	2835
132	432	2818
133	433	2800
134	434	2784
135	436	2771
136	437	2756
137	438	2740
138	439	2723
139	440	2707
140	441	2692
141	442	2674
142	443	2658
143	444	2643
144	445	2628
145	446	2613
146	447	2598
147	448	2583
148	449	2569
149	451	2560
150	453	2547
151	454	2533
152	455	2520
153	456	2506
154	457	2493
155	458	2479
156	459	2466
157	460	2453
158	461	2440
159	462	2428
160	463	2414
161	464	2402
162	466	2393
163	467	2382
164	468	2370
165	469	2358
166	470	2347
167	471	2335
168	472	2324
169	473	2312
170	474	2301
171	475	2290
172	476	2279
173	477	2268
174	478	2257
175	480	2249
176	481	2240
177	483	2230
178	484	2220
179	485	2210
180	486	2199
181	487	2189
182	488	2179
183	489	2169
184	490	2159
185	491	2150
186	492	2140
187	493	2131
